Code,Category,Description,Demand,Price,Service Time,Operational Expense,Number of Dentist,Demand per Day,Relative Prob,,,,,,,,,
316,Diagnostic services,,1,77.28,17.37,46.368,3,0.0009661835749,0.00%,,,,,,,,,
165,"Preventive, prophylactic and bleaching services",,1,25.27,15.00,15.162,3,0.0009661835749,0.00%,,,,,,,,,
88322,Oral surgery,,1,218.65,45.00,131.19,3,0.0009661835749,0.00%,,,,,,,,,
556,Restorative services,,22,1396.363636,75.00,837.8181818,3,0.02125603865,0.05%,,,,,,,,,
631,Prosthodontics,,4,35,15.00,21,3,0.0038647343,0.01%,,,,,,,,,
656,Prosthodontics,,1,165,10,99,3,0.0009661835749,0.00%,,,,,,,,,
753,Prosthodontics,,1,0,30,0,3,0.0009661835749,0.00%,,,,,,,,,
768,Prosthodontics,,9,196.1111111,30,117.6666667,3,0.008695652174,0.02%,,,,,,,,,
776,Prosthodontics,,2,70,15,42,3,0.00193236715,0.00%,,,,,,,,,
823,Orthodontics,,1,950,37.50,570,3,0.0009661835749,0.00%,,,,,,,,,
841,Orthodontics,,2,310.25,37.50,186.15,3,0.00193236715,0.00%,,,,,,,,,
873,Orthodontics,,2,180.5,25.00,108.3,3,0.00193236715,0.00%,,,,,,,,,
966,General services,,5,70.3,15,42.18,3,0.004830917874,0.01%,,,,,,,,,
Script,Miscellaneous,,9,0.5555555556,22.50,0.3333333333,3,0.008695652174,0.02%,,,,,,,,,
CrownCem,Obsolete,,1,0,37.50,0,3,0.0009661835749,0.00%,,,,,,,,,
Rev,Obsolete,,2,0,22.50,0,3,0.00193236715,0.00%,,,,,,,,,
Spl Ins,Obsolete,,3,0,25.00,0,3,0.002898550725,0.01%,,,,,,,,,
18,Diagnostic services,,2,109.175,15.00,65.505,3,0.00193236715,0.00%,,,,,,,,,
Add LA,Diagnostic services,,2,52.5,17.37,31.5,3,0.00193236715,0.00%,,,,,,,,,
InvisR,Diagnostic services,,10,0,17.37,0,3,0.009661835749,0.02%,,,,,,,,,
245,Periodontics,,1,86.6,30,51.96,3,0.0009661835749,0.00%,,,,,,,,,
451,Endodontics,,1,670,30,402,3,0.0009661835749,0.00%,,,,,,,,,
88535,Restorative services,,2,254.75,31.52,152.85,3,0.00193236715,0.00%,,,,,,,,,
632,Prosthodontics,,2,256,15.00,153.6,3,0.00193236715,0.00%,,,,,,,,,
658,Prosthodontics,,1,263,30,157.8,3,0.0009661835749,0.00%,,,,,,,,,
88522,Restorative services,,1,143.8,25,86.28,3,0.0009661835749,0.00%,,,,,,,,,
Dr Invis Cons,Diagnostic services,,1,0,17.37,0,3,0.0009661835749,0.00%,,,,,,,,,
FIC,Diagnostic services,,2,0,17.37,0,3,0.00193236715,0.00%,,,,,,,,,
281,Periodontics,,1,420,26.43,252,3,0.0009661835749,0.00%,,,,,,,,,
618,Prosthodontics,,1,,25.00,0,3,0.0009661835749,0.00%,,,,,,,,,
