No,AU Time (Min),Offer Gaia Price AUD,Cost Material AUD,Offer Gaia Price IDR,Cost Material IDR
737,1:00:00,104.0,31,408000,122400
738,0:20:00,167.0,50,994500,298350
739,0:20:00,150.0,45,1054500,316350
741,0:30:00,215.0,65,289500,86850
743,0:30:00,112.0,34,637500,191250
744,0:15:00,274.0,82,637500,191250
745,0:15:00,291.0,87,699000,209700
746,0:15:00,80.0,24,637500,191250
751,0:30:00,176.0,53,345000,103500
752,0:30:00,176.0,53,411000,123300
753,0:45:00,193.0,58,235500,70650
754,0:45:00,176.0,53,391500,117450
761,0:45:00,95.0,29,447000,134100
762,0:45:00,113.0,34,703500,211050
763,0:15:00,65.0,20,510000,153000
764,0:40:00,108.0,32,508500,152550
765,0:30:00,123.0,37,546000,163800
766,0:30:00,194.0,58,547500,164250
768,0:30:00,141.0,42,391500,117450
769,0:30:00,140.0,42,498000,149400
771,0:30:00,151.0,45,85500,25650
772,0:30:00,151.0,45,85500,25650
773,0:30:00,108.0,32,85500,25650
774,0:40:00,137.0,41,85500,25650
775,0:30:00,24.0,7,85500,25650
776,1:00:00,24.0,7,85500,25650
777,1:00:00,24.0,7,72000,21600
778,0:30:00,24.0,7,72000,21600
779,0:15:00,24.0,7,85500,25650
811,0:15:00,151.0,45,549000,164700
821,0:15:00,165.0,50,598500,179550
823,0:30:00,153.0,46,553500,166050
824,0:45:00,113.0,34,409500,122850
825,0:30:00,1025.0,308,2016000,604800
829,0:30:00,165.0,50,973500,292050
831,0:30:00,153.0,46,973500,292050
833,0:45:00,113.0,34,435000,130500
841,1:00:00,1664.0,499,988500,296550
842,1:00:00,268.0,80,946500,283950
843,1:00:00,125.0,38,453000,135900
845,1:00:00,174.0,52,616500,184950
846,1:00:00,170.0,51,616500,184950
851,1:00:00,261.0,78,0,0
862,1:00:00,81.0,24,301500,90450
871,1:00:00,174.0,52,735000,220500
872,1:00:00,170.0,51,352500,105750
873,1:00:00,73.0,22,264000,79200
874,1:00:00,81.0,24,475500,142650
875,0:15:00,143.0,43,520500,156150
876,0:40:00,97.0,29,532500,159750
877,0:30:00,158.0,47,574500,172350
878,0:30:00,131.0,39,468000,140400
881,0:30:00,143.0,43,4905000,1471500
911,1:00:00,147.0,44,73500,22050
915,1:00:00,158.0,47,109500,32850
916,0:30:00,129.0,39,109500,32850
926,0:30:00,451.0,135,148500,44550
927,0:30:00,20.0,6,73500,22050
928,1:00:00,152.0,46,552000,165600
941,1:00:00,30.0,9,93000,27900
942,1:00:00,376.0,113,4093500,1228050
943,1:00:00,295.0,89,1069500,320850
944,1:00:00,152.0,46,37500,11250
945,0:05:00,26.0,8,1069500,320850
948,1:00:00,376.0,113,45000,13500
949,1:00:00,295.0,89,37500,11250
961,1:00:00,134.0,40,486000,145800
963,0:05:00,295.0,89,213000,63900
964,1:00:00,177.0,53,289500,86850
965,1:00:00,168.0,50,609000,182700
966,0:15:00,74.0,22,267000,80100
967,0:45:00,125.0,38,454500,136350
968,0:30:00,80.0,24,319500,95850
971,0:30:00,168.0,50,39000,11700
972,0:15:00,76.0,23,276000,82800
981,0:30:00,125.0,38,607500,182250
982,0:15:00,107.0,32,390000,117000
983,0:15:00,67.0,20,487500,146250
984,0:15:00,134.0,40,487500,146250
985,0:30:00,71.0,21,256500,76950
986,0:30:00,71.0,21,256500,76950
987,0:30:00,67.0,20,73500,22050
990,0:45:00,134.0,40,73500,22050
999,0:30:00,0.0,0,0,0
1Dsy,0:30:00,96.0,29,283000,84900
